custom/episode_length,custom/total_distance,time/num_timesteps,custom/total_reward,custom/mean_reward,custom/collision_num,custom/avg_center_dev,custom/collision_rate,custom/avg_speed,custom/routes_completed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/value_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/entropy_loss,custom/CPS,custom/CPM,custom/collision_interval,custom/collision_speed
,,,,,,,,,,24,111.42650535,967.15,19,789,19456,,,,,,,,,,,,,,,
720,203.27937817001293,20062,144.90740501486047,0.20126028474286176,9,0.8631415104963109,0.42857142857142855,10.261648239566139,1.191275167785235,,,,,,,6.098390688747168,0.4373358488082886,0.00619999,190,0.065625,1.3229352960000003e-05,-0.009867213637335226,1.027470350265503,0.2,0.5360140204429626,-2.8919865518808363,0.001388888888888889,4.919338149311185,720,4.308687507887772
,,,,,,,,,,24,113.01911114285716,955.3333333333334,20,831,20480,,,,,,,,,,,,,,,
1361,460.08733564290924,21422,344.73236112656394,0.25329343212826155,10,0.6269146721157665,0.45454545454545453,12.594191885558676,1.035031847133758,,,,,,,4.131160158291459,0.7361572086811066,0.0030501282,200,0.03271484375,1.0969344000000004e-05,-0.005019531218567863,1.0277260541915894,0.2,1.873689889907837,-2.8923093006014824,0.0007347538574577516,2.1735003824928945,1361,0.25172488480130656
,,,,,,,,,,24,123.54988713636364,973.7272727272727,21,874,21504,,,,,,,,,,,,,,,
440,105.22169247024794,21861,103.68619859994224,0.2356504513635051,11,0.4280114248358656,0.4782608695652174,13.056507482420114,0.4087301587301587,,,,,,,4.760343000292778,0.6634353697299957,0.006653764,210,0.0666015625,8.94002176e-06,-0.007268052228027955,1.0277020931243896,0.2,0.4705994725227356,-2.8925640508532524,0.0022727272727272726,9.503743729295707,440,2.673305807276798
,,,,,,,,,,24,122.68602200000001,950.4782608695652,22,914,22528,,,,,,,,,,,,,,,
807,182.6239301321093,22667,249.764091329993,0.30949701527880175,12,0.30567348160466834,0.5,12.288805826705175,0.345489443378119,,,,,,,5.915179321914911,0.2506844401359558,0.0027718425,220,0.0115234375,7.141386239999998e-06,-0.003873911837581545,1.0277937650680542,0.2,4.437080383300781,-2.8926052287220956,0.0012391573729863693,5.475733652630324,807,1.1728804375862285
,,,,,,,,,,24,127.97945933333335,944.4583333333334,23,955,23552,,,,,,,,,,,,,,,
1510,488.98009378560255,24176,336.5965748422838,0.22291163896839988,12,0.7081859559553241,0.48,12.36243673009208,1.465960665658094,,,,,,,3.137608923763037,0.6591240167617798,0.0062921196,230,0.0685546875,5.57343744e-06,-0.008497199328849092,1.0278971195220947,0.2,0.6296078562736511,-2.8927820891141893,,,,
156,43.20790131686954,24331,55.612023367194524,0.356487329276888,13,0.20688605144423514,0.5,15.073755443737832,0.12951807228915663,,,,,,,,,,,,,,,,,,0.00641025641025641,23.143915106322762,1666,7.448964530648051
,,,,,,,,,,24,133.2184401538462,935.8076923076923,24,997,24576,,,,,,,,,,,,,,,
,,,,,,,,,,24,133.2184401538462,935.8076923076923,25,1038,25600,6.5452405393123625,0.7023152709007263,0.0047217063,240,0.0119140625,4.236175359999999e-06,-0.0026690746773965655,1.0279412269592285,0.2,1.287010908126831,-2.8929538309574125,,,,
,,,,,,,,,,24,133.2184401538462,935.8076923076923,26,1078,26624,2.3690963082015513,0.8140663504600525,0.003965834,250,0.024609375,3.129599999999999e-06,-0.0047701785282697525,1.0279955863952637,0.2,0.6109161972999573,-2.8930345103144646,,,,
3141,1264.425173914945,27471,824.0303233211471,0.2623464894368504,13,0.5651497401394376,0.48148148148148145,12.869630300448717,4.060126582278481,,,,,,,3.409510725736618,0.7006790041923523,0.0010608182,260,0.00087890625,2.2537113600000007e-06,-0.0008410773327341304,1.0279709100723267,0.2,0.9256566762924194,-2.8930789917707442,,,,
,,,,,,,,,,24,158.80330022222225,1017.4444444444445,27,1119,27648,,,,,,,,,,,,,,,
738,173.84360584605656,28208,206.04885692363007,0.27919899312144997,14,0.4667364342964518,0.5,12.81277351118938,0.7934272300469484,,,,,,,3.622593618184328,0.8311003148555756,0.001711931,270,0.0001953125,1.6085094400000007e-06,-0.001779160153819248,1.0280451774597168,0.2,2.297974109649658,-2.8931097820401193,0.0013550135501355014,5.752296698709346,3879,3.416374742816433
123,28.030800827778876,28330,27.432337724051777,0.22302713596790064,15,0.3032784599708001,0.5172413793103449,12.41745202461777,0.4827586206896552,,,,,,,,,,,,,,,,,,0.008130081300813009,35.67504211328088,123,6.49227695507135
,,,,,,,,,,24,155.90105413793106,976.8965517241379,28,1160,28672,,,,,,,,,,,,,,,
981,255.91557851759717,29310,226.47379197828673,0.2308601345344411,16,0.5951775506692842,0.5333333333333333,14.18941103645564,0.8542372881355932,,,,,,,8.958928138017654,0.5463758409023285,0.0003612035,280,0.0,1.19399424e-06,-0.0014975270489230752,1.028064250946045,0.2,3.6898980140686035,-2.89321426153183,0.0010193679918450561,3.907538594533972,981,2.231961114117494
271,159.14177368866513,29580,62.48966929826484,0.23058918560245328,17,0.48368161000230847,0.5483870967741935,12.69254159670273,1.1176470588235294,,,,,,,,,,,,,,,,,,0.0036900369003690036,6.283705257403607,271,1.4610497118865022
104,24.622217841562815,29683,22.98112344135763,0.22097234078228492,17,0.5817533199642282,0.53125,12.886518301734238,0.05694760820045558,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24,151.0321828125,927.59375,29,1203,29696,,,,,,,,,,,,,,,
121,29.029242014337797,29803,20.229069513573716,0.16718239267416293,18,0.6683941527401224,0.5454545454545454,13.071468025542865,0.8,,,,,,,11.635114100575446,0.5532359480857849,0.00048439507,290,0.0,1.01016576e-06,-0.0004992558824596927,1.0280689001083374,0.2,7.778637886047363,-2.8932344362139704,0.008264462809917356,34.44802311772699,225,3.493866729175023
147,37.22839980083518,29949,42.421149269020155,0.28857924672802826,19,0.31829993134447604,0.5588235294117647,13.806205805234587,0.0784313725490196,,,,,,,,,,,,,,,,,,0.006802721088435374,26.86121362588263,147,11.32570879353257
,,,,,,,,,,24,143.99039005882352,880.8529411764706,30,1246,30720,,,,,,,,,,,,,,,
